tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	PAYNT-AR-MDP-Eval	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1	PAYNT-AR-1-by-1
benchmarks/files/robust-q3/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
pomdp-families-sat_mem_1_dpm_1.yml	sat	true	true	130.627274	130.78614598046988	144.216064	4334	true	1.175078	1.3583498559892178	180.801536	249	TIMEOUT	1800.636291	1800.8899028375745	830.590976		true	352.959128	353.10021070204675	268.226560	252373
pomdp-families-sat_mem_1_refuel-04_1.yml	sat	true	true	0.415508	0.5357668334618211	136.482816	30	true	0.769255	0.9641795633360744	171.147264	551	TIMEOUT	1800.622364	1800.856056889519	292.241408		true	0.555755	0.7130346456542611	136.482816	25
pomdp-families-sat_mem_1_rover-100_1.yml	sat	true	true	1.326042	1.4814796298742294	136.228864	4	true	0.870366	1.0703507652506232	182.837248	7	false	316.653873	316.8624832043424	920.621056		true	1.974916	2.152299378067255	136.372224	1730
pomdp-families-sat_mem_1_rover_1.yml	sat	true	true	171.089637	171.24367590155452	136.437760	2	true	0.572046	0.7424853416159749	181.874688	13	false	38.779007	38.99224075302482	347.320320		true	325.353189	325.5141558786854	735.858688	524880
pomdp-families-sat_mem_2_dpm-switch-q10_2.yml	sat	true	TIMEOUT	1800.624529	1800.9321098169312	156.278784		TIMEOUT	1801.122096	1801.5926799904555	853.147648		TIMEOUT	1800.796653	1801.1327736321837	3854.237696		TIMEOUT	1800.616629	1800.8241211054847	137.162752	
pomdp-families-sat_mem_2_dpm_2.yml	sat	true	true	281.214785	281.3606425561011	194.588672	12019	true	42.132839	42.374138969928026	274.018304	8097	TIMEOUT	1800.664463	1801.1053731096908	1426.558976		TIMEOUT	1800.623165	1800.9399546682835	305.422336	
pomdp-families-sat_mem_2_obstacles-8-3_2.yml	sat	true	TIMEOUT	1800.60095	1801.2026177495718	136.323072		TIMEOUT	1800.83751	1801.334104064852	1561.473024		OUT OF MEMORY	58.382524	61.79850942734629	16000.000000		TIMEOUT	1800.617362	1800.7971815848723	138.125312	
pomdp-families-sat_mem_2_obstacles-8-6_2.yml	sat	true	TIMEOUT	1800.588069	1801.2910137670115	136.437760		TIMEOUT	1802.177305	1802.7273035915568	2251.890688		OUT OF MEMORY	125.430789	142.8271051766351	16000.000000		TIMEOUT	1800.620095	1800.801984607242	186.970112	
pomdp-families-sat_mem_2_refuel-04_2.yml	sat	true	true	0.596414	0.7542881658300757	136.355840	54	true	1.819418	2.017982807941735	172.220416	708	TIMEOUT	1800.71725	1801.177080065012	1362.989056		true	0.611102	0.7663312759250402	136.351744	42
pomdp-families-sat_mem_2_rover-100_2.yml	sat	true	true	5.832822	5.981427675113082	180.510720	7	true	1.30385	1.5062649259343743	256.282624	7	TIMEOUT	1800.758781	1801.2803437346593	2779.144192		true	10.361098	10.520224920473993	167.161856	1733
pomdp-families-sat_mem_3_obstacles-8-3_3.yml	sat	true	TIMEOUT	1800.616542	1800.952600277029	136.355840		TIMEOUT	1801.208883	1801.6238046409562	1181.683712		TIMEOUT	1800.714299	1801.166309130378	1654.984704		TIMEOUT	1800.613787	1800.849398589693	141.467648	
pomdp-families-sat_mem_3_obstacles-8-6_3.yml	sat	true	TIMEOUT	1800.629473	1800.8765672026202	136.355840		TIMEOUT	1801.260184	1801.6898700632155	1352.613888		TIMEOUT	1800.789411	1801.262984957546	2514.411520		TIMEOUT	1800.615337	1800.8606618121266	191.135744	
mdp-families-unsat_mem_1_avoid-8-2-big-family_1.yml	unsat	false	TIMEOUT	1800.677804	1801.0158961080015	1297.051648		TIMEOUT	1801.415	1801.8767967671156	3112.857600		TIMEOUT	1800.796334	1801.3078231699765	2538.094592		TIMEOUT	1800.73565	1800.9724788842723	1925.337088	
mdp-families-unsat_mem_1_avoid-8-2-easy-big-family_1.yml	unsat	false	TIMEOUT	1800.726264	1801.0202187281102	2192.359424		TIMEOUT	1801.39611	1801.891457779333	2118.545408		TIMEOUT	1800.80317	1801.325897630304	2525.769728		TIMEOUT	1800.63354	1800.8052610782906	305.426432	
mdp-families-unsat_mem_1_avoid-8-2-easy_1.yml	unsat	false	TIMEOUT	1800.649901	1800.928453749977	604.770304		TIMEOUT	1801.942602	1802.41652150359	7569.858560		TIMEOUT	1800.809101	1801.3479804350063	2485.981184		false	1.634637	1.7659614300355315	238.030848	10
mdp-families-unsat_mem_1_avoid-8-2_1.yml	unsat	false	TIMEOUT	1800.656495	1800.9519423143938	883.445760		TIMEOUT	1800.931712	1801.3610451268032	4506.959872		TIMEOUT	1800.804561	1801.353908387944	2478.682112		TIMEOUT	1800.677629	1800.8464002460241	1029.750784	
mdp-families-unsat_mem_1_dpm-switch-q10-big-big-family_1.yml	unsat	false	false	2.970317	3.1266968874260783	356.716544	8	TIMEOUT	1800.211038	1804.4257195703685	4416.933888		TIMEOUT	1800.695863	1801.104511614889	1108.668416		false	180.302686	180.45204046275467	458.874880	29162
mdp-families-unsat_mem_1_dpm-switch-q10-big-family_1.yml	unsat	false	false	0.545049	0.6963144950568676	136.331264	7	false	1.245195	1.4698715070262551	200.011776	4	OUT OF MEMORY	888.136942	888.595392068848	16000.000000		TIMEOUT	1800.617058	1800.865815362893	153.210880	
mdp-families-unsat_mem_1_dpm-switch-q10-big_1.yml	unsat	false	false	1.050146	1.2016916116699576	179.032064	6	TIMEOUT	1800.819187	1801.2288387818262	5441.638400		TIMEOUT	1800.689817	1801.0922231059521	984.092672		TIMEOUT	1800.623438	1800.8263697326183	217.620480	
mdp-families-unsat_mem_1_dpm-switch-q10_1.yml	unsat	false	false	0.64099	0.7849454190582037	135.708672	6	false	109.231078	109.94485033489764	409.096192	4747	OUT OF MEMORY	358.910773	362.29135323222727	16000.000000		TIMEOUT	1800.613595	1800.8309130128473	136.163328	
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy-big-family_1.yml	unsat	false	TIMEOUT	1800.612853	1800.9463623082265	136.454144		false	100.699683	101.51333333179355	298.373120	17970	TIMEOUT	1800.70304	1801.1055269353092	1192.579072		TIMEOUT	1800.851708	1801.0277057150379	3458.338816	
mdp-families-unsat_mem_1_obstacles-10-6-skip-easy_1.yml	unsat	false	TIMEOUT	1800.610608	1800.9986307723448	136.331264		TIMEOUT	1800.960663	1802.267787227407	5721.452544		TIMEOUT	1800.705342	1801.1066484712064	1227.644928		TIMEOUT	1800.613904	1800.8019257299602	136.364032	
mdp-families-unsat_mem_1_obstacles-demo_1.yml	unsat	false	false	0.390097	0.5235797604545951	135.991296	1	false	3.179731	3.919127478264272	171.143168	51	false	9.80387	10.12996343895793	223.363072		false	0.362769	0.48521824087947607	136.351744	1
mdp-families-unsat_mem_1_rover-100-big-big-family_1.yml	unsat	false	false	0.593829	0.7419454725459218	147.320832	1	false	10.516277	11.444824961014092	216.870912	3	OUT OF MEMORY	518.975046	537.0002141958103	16000.000000		OUT OF MEMORY	106.172706	113.66400243341923	16000.000000	
mdp-families-unsat_mem_1_rover-100-big_1.yml	unsat	false	false	0.434728	0.5539564592763782	136.142848	1	false	3.355082	4.149529121816158	176.865280	3	false	201.375898	201.59503305330873	3415.740416		false	0.397853	0.5212326562032104	136.081408	1
