tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks
benchmarks/files/benchmark-general/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-general-sat_mem_1_rocks-6-4-big-family_11.yml	OUT OF MEMORY	249.423353	251.4823312209919	16000.000000		TIMEOUT	1800.607157	1802.4388116123155	3284.389888	
benchmark-general-sat_mem_1_rocks-6-4-big-family_13.yml	OUT OF MEMORY	251.809266	252.65594415646046	16000.000000		true	1361.757986	1362.538114930503	2196.729856	81304
benchmark-general-sat_mem_1_rocks-6-4-big-family_15.yml	OUT OF MEMORY	254.340227	256.92949471995234	16000.000000		TIMEOUT	1800.572249	1802.0930362278596	4369.821696	
benchmark-general-sat_mem_1_rocks-6-4-big-family_3.yml	OUT OF MEMORY	261.141529	265.11432979628444	16000.000000		false	10.306029	10.479844165034592	240.910336	1382
benchmark-general-sat_mem_1_rocks-6-4-big-family_5.yml	OUT OF MEMORY	246.29042	248.3672131076455	16000.000000		true	306.52275	307.0917769372463	1362.677760	29666
benchmark-general-sat_mem_1_rocks-6-4-big-family_7.yml	OUT OF MEMORY	339.408194	345.0430953716859	16000.000000		true	398.821038	399.2693017795682	1349.414912	30513
benchmark-general-sat_mem_1_rocks-6-4-big-family_9.yml	OUT OF MEMORY	282.636664	283.28679929766804	16000.000000		true	1253.901828	1255.315316320397	2906.562560	109122
benchmark-general-sat_mem_1_rocks-6-4-signal_1.yml	OUT OF MEMORY	329.685744	331.7043731752783	16000.000000		false	4.616045	5.39215768687427	192.913408	7
benchmark-general-sat_mem_1_rocks-6-4-signal_11.yml	OUT OF MEMORY	314.470509	316.2219165600836	16000.000000		TIMEOUT	1800.79773	1803.2782050529495	4668.555264	
benchmark-general-sat_mem_1_rocks-6-4-signal_13.yml	OUT OF MEMORY	277.091743	280.9966151230037	16000.000000		TIMEOUT	1800.855033	1802.4088489217684	4849.098752	
benchmark-general-sat_mem_1_rocks-6-4-signal_15.yml	OUT OF MEMORY	273.504073	275.42953586485237	16000.000000		true	1751.680731	1752.0471362825483	4520.001536	106124
benchmark-general-sat_mem_1_rocks-6-4-signal_3.yml	OUT OF MEMORY	313.682746	318.5326462201774	16000.000000		false	9.012623	9.175653943791986	210.677760	501
benchmark-general-sat_mem_1_rocks-6-4-signal_5.yml	OUT OF MEMORY	298.321971	299.69558538123965	16000.000000		true	775.366122	775.7840727455914	1895.485440	50686
benchmark-general-sat_mem_1_rocks-6-4-signal_7.yml	OUT OF MEMORY	281.38897	284.8410665038973	16000.000000		true	1402.4093	1402.9173931824043	3345.416192	143422
benchmark-general-sat_mem_1_rocks-6-4-signal_9.yml	OUT OF MEMORY	259.70418	260.9402856910601	16000.000000		TIMEOUT	1800.85987	1804.4327056305483	5511.180288	
benchmark-general-sat_mem_1_rover-1000-big-family_1.yml	TIMEOUT	1800.650087	1800.918529715389	1192.304640		true	6.510181	6.789840803481638	901.005312	19
benchmark-general-sat_mem_1_rover-1000-big-family_11.yml	TIMEOUT	1800.681574	1800.9071337999776	1194.430464		true	26.964456	27.288518864661455	904.237056	17
benchmark-general-sat_mem_1_rover-1000-big-family_13.yml	TIMEOUT	1800.682917	1800.9201196022332	1195.114496		true	31.289064	31.629461297765374	903.139328	15
benchmark-general-sat_mem_1_rover-1000-big-family_15.yml	TIMEOUT	1800.684297	1800.9291332233697	1195.200512		true	39.472181	39.79684999305755	907.014144	18
benchmark-general-sat_mem_1_rover-1000-big-family_3.yml	TIMEOUT	1800.678954	1800.9235695106909	1192.890368		true	8.065549	8.368335251696408	898.584576	20
benchmark-general-sat_mem_1_rover-1000-big-family_5.yml	TIMEOUT	1800.680571	1800.932265561074	1193.054208		true	9.405116	9.705604773014784	902.000640	16
benchmark-general-sat_mem_1_rover-1000-big-family_7.yml	TIMEOUT	1800.679248	1800.927977643907	1193.623552		true	17.427634	17.742923621088266	898.756608	16
benchmark-general-sat_mem_1_rover-1000-big-family_9.yml	TIMEOUT	1800.679296	1800.9415687918663	1193.979904		true	13.954944	14.257823593914509	902.467584	16
benchmark-general-sat_mem_1_uav-operator-roz-workload-big-family_1.yml	TIMEOUT	1800.739583	1800.9663876164705	1778.753536		false	13.570417	13.79467087239027	1279.569920	0
benchmark-general-sat_mem_1_uav-operator-roz-workload-big-family_3.yml	TIMEOUT	1800.737618	1800.9732265342027	1775.185920		false	56.411788	56.789234208874404	1791.193088	263
benchmark-general-sat_mem_1_uav-roz-big-family_1.yml	TIMEOUT	1800.992672	1801.2548057287931	5175.373824		false	35.785747	36.19713253993541	3911.589888	0
benchmark-general-sat_mem_1_uav-roz-big-family_15.yml	TIMEOUT	1800.985876	1801.23016104009	5882.998784		OUT OF MEMORY	379.879683	380.7006243346259	16000.000000	
benchmark-general-sat_mem_1_uav-roz-big-family_3.yml	TIMEOUT	1800.992324	1801.2885507075116	5231.390720		false	154.483597	154.84680556040257	5016.567808	422
benchmark-general-sat_mem_2_obstacles-2-3_13.yml	OUT OF MEMORY	163.895545	189.7878538966179	16000.000000		false	10.477951	10.75515483878553	175.091712	91
benchmark-general-sat_mem_2_obstacles-2-3_15.yml	OUT OF MEMORY	92.876177	103.1699154227972	16000.000000		true	3.813929	4.118757922202349	207.691776	96
