x,y,velx,vely
27.010,3.460,4.872,0.420
34.520,-0.860,3.139,-18.990
36.440,-0.720,2.734,-23.722
24.980,-0.870,3.393,-23.130
26.020,-0.680,3.249,-21.019
33.890,-0.740,2.712,-21.885
25.700,-0.960,3.632,-18.566
35.870,-0.680,3.237,-23.790
36.780,-0.880,3.025,-24.100
31.430,-6.010,-0.124,-25.356
29.220,-6.510,-0.110,-23.348
35.120,-8.170,-0.087,-24.020
26.460,-5.680,-0.103,-32.179
25.000,-5.920,0.174,-23.914
34.820,-5.790,0.225,-23.500
29.540,-6.970,0.188,-25.173
30.720,-6.830,0.218,-29.786
22.540,-7.590,0.540,-31.622
27.470,-7.890,0.613,-35.140
24.010,-8.420,0.599,-35.589
23.970,-10.090,0.665,-33.256
22.860,-7.180,0.588,-30.929
28.170,-7.630,0.598,-30.542
28.740,-9.380,0.455,-32.524
30.620,-10.050,0.571,-31.283
22.160,6.620,-1.934,-15.408
23.550,5.130,-1.716,-16.201
22.820,7.070,-1.380,-11.348
23.040,5.310,-1.706,-11.812
20.480,5.610,-1.583,-14.852
25.520,7.320,-2.150,-12.272
20.750,6.790,-1.508,-11.189
19.290,4.900,-1.904,-11.326
22.660,-4.100,-1.702,-20.949
23.060,-5.450,-1.548,-22.248
28.050,-5.350,-1.403,-25.973
22.180,-4.870,-1.560,-20.864
28.320,-4.860,-1.500,-19.624
27.130,-5.430,-1.474,-22.820
30.060,-5.080,-1.294,-24.562
24.370,-4.410,-1.354,-19.124
26.060,-10.490,-3.410,-22.561
31.640,-7.340,-3.489,-29.928
27.750,-8.230,-3.280,-28.059
30.820,-9.220,-3.464,-27.118
26.530,-8.340,-3.938,-25.641
24.310,-7.420,-3.627,-28.882
27.590,-9.780,-4.080,-30.534
23.160,-8.850,-4.107,-24.675
29.950,-5.780,-3.100,-30.687
27.290,-5.010,-2.928,-21.862
27.610,-6.200,-2.889,-23.889
21.860,-5.040,-2.806,-24.709
31.330,-6.070,-2.872,-27.103
24.810,-4.660,-3.449,-30.153
25.820,-4.460,-2.744,-21.916
30.080,-6.350,-2.654,-28.695
28.520,-5.580,-3.075,-17.818
32.210,-6.130,-2.836,-17.104
24.810,-4.660,-3.931,-20.550
27.100,-5.280,-3.810,-19.668
24.210,-4.560,-4.055,-22.529
25.040,-4.860,-3.050,-19.696
23.100,-5.320,-3.656,-15.508
22.240,-4.530,-3.848,-22.088
23.340,2.640,8.271,-4.893
28.580,2.840,7.833,-4.266
26.210,2.760,8.136,-4.483
28.670,2.780,8.622,-5.674
31.780,2.740,8.251,-4.556
30.260,2.540,7.623,-6.116
27.830,2.610,6.079,-4.974
34.160,2.980,7.885,-4.621
35.370,-1.580,-1.984,-18.843
32.280,-1.560,-2.486,-15.814
35.100,-1.400,-2.270,-22.457
37.620,-1.580,-2.638,-21.383
36.580,-1.630,-3.151,-19.105
36.050,-1.990,-3.188,-20.808
35.080,-1.460,-3.198,-23.410
34.870,-1.540,-2.857,-23.267
25.400,0.360,4.055,-3.279
21.610,0.430,4.949,-3.522
22.500,0.360,3.902,-2.903
21.370,0.460,5.028,-3.483
23.870,0.360,4.096,-3.051
22.980,0.320,3.859,-3.518
26.140,0.310,4.203,-3.909
22.380,0.420,3.736,-3.019
20.290,2.580,0.281,0.056
24.240,2.850,0.210,0.070
22.790,2.880,0.282,0.067
23.530,2.010,0.206,0.075
26.380,2.870,0.172,0.055
19.720,2.530,0.195,0.051
24.410,2.700,0.219,0.050
22.980,2.000,0.199,0.049
20.000,14.060,-3.542,-13.057
20.340,12.000,-5.003,-10.278
17.990,16.620,-5.082,-11.755
17.130,12.280,-4.386,-12.805
21.620,15.240,-4.002,-11.094
18.060,15.910,-4.818,-12.869
22.930,16.080,-3.529,-11.326
23.970,15.190,-4.178,-14.548
20.390,6.680,-6.239,-21.785
18.830,6.640,-6.678,-17.931
19.290,5.750,-5.667,-19.508
18.620,5.230,-6.512,-20.057
20.440,5.360,-6.043,-20.683
25.900,6.930,-5.921,-16.233
21.940,7.560,-6.228,-17.299
26.010,6.280,-4.842,-22.528
17.740,3.850,-6.314,-22.210
24.130,3.300,-4.841,-22.295
19.870,3.670,-4.947,-18.578
25.090,3.830,-6.110,-22.413
21.310,3.400,-6.846,-24.781
23.180,3.040,-6.900,-21.588
20.880,3.500,-5.347,-23.785
22.910,3.120,-4.728,-19.143
20.360,4.000,8.487,-2.608
17.820,3.680,9.319,-2.788
18.840,3.640,6.981,-2.161
18.310,3.960,8.306,-2.514
20.090,3.080,6.848,-2.412
16.850,3.820,8.467,-2.271
18.740,3.220,9.361,-2.482
21.920,3.890,7.486,-3.048
19.940,4.910,-1.266,-11.460
16.330,5.720,-1.130,-14.641
21.120,5.540,-1.104,-12.575
21.320,4.700,-1.054,-13.975
20.840,6.080,-1.086,-14.620
19.820,5.190,-1.136,-15.461
18.310,5.400,-1.072,-13.638
20.800,5.430,-1.140,-13.105
24.620,7.450,-5.608,-17.069
20.620,8.910,-5.382,-21.327
28.120,8.970,-3.837,-24.123
24.820,6.540,-4.648,-19.230
21.900,8.290,-4.403,-19.688
23.110,8.280,-4.602,-19.048
21.240,8.680,-4.040,-22.046
27.260,6.330,-4.195,-21.673
21.240,6.850,-4.123,-27.664
21.570,6.940,-4.119,-19.369
21.390,7.180,-4.733,-19.911
19.810,5.910,-5.386,-20.236
17.310,7.280,-4.682,-20.243
20.490,7.690,-4.362,-25.347
23.430,6.240,-5.566,-26.141
19.110,7.780,-5.611,-20.378
19.380,2.230,-3.176,1.976
19.280,2.180,-4.068,2.203
21.780,2.590,-4.150,2.153
19.310,2.470,-3.342,2.128
24.300,2.510,-2.921,2.146
25.400,2.540,-4.166,1.585
18.330,2.450,-3.332,1.869
22.870,2.190,-3.638,2.118
25.940,7.010,-5.272,-25.520
28.680,5.450,-4.968,-21.296
31.950,6.630,-4.650,-20.507
31.850,5.740,-4.390,-18.647
25.700,4.900,-4.934,-23.337
28.510,6.670,-4.451,-23.829
26.200,5.120,-4.133,-26.007
28.060,5.590,-4.751,-19.207
25.310,13.210,-1.676,-15.015
17.750,10.140,-1.759,-16.069
20.240,13.580,-1.388,-15.362
20.290,12.640,-1.562,-11.286
18.340,10.980,-1.883,-13.818
22.990,13.720,-2.226,-15.976
23.880,12.880,-2.221,-13.473
18.890,12.710,-2.157,-16.283
31.730,2.180,-4.905,-24.287
26.580,2.360,-5.256,-29.064
33.050,2.500,-6.228,-32.163
29.850,2.430,-6.008,-22.469
29.320,1.870,-5.373,-31.905
26.750,2.130,-5.306,-22.452
30.980,1.870,-5.188,-26.061
28.130,2.580,-5.736,-32.919
18.540,2.690,0.000,0.000
24.970,2.350,0.000,0.000
22.240,2.100,0.000,0.000
25.880,2.650,0.000,0.000
22.320,2.070,-0.000,-0.000
19.970,2.590,-0.000,-0.000
27.390,2.450,-0.000,-0.000
26.950,2.040,-0.000,-0.000
22.370,4.770,-3.468,-21.304
19.890,4.250,-3.557,-19.998
27.980,3.400,-4.107,-17.541
21.720,3.980,-3.844,-17.037
27.380,3.630,-3.288,-17.877
21.660,4.390,-4.654,-21.609
19.930,4.790,-4.158,-17.353
28.380,3.250,-4.209,-19.459
22.290,3.150,-12.102,-4.285
21.470,2.690,-9.599,-4.220
21.500,2.450,-12.652,-3.978
27.450,3.490,-12.721,-5.233
23.220,2.580,-10.262,-3.455
21.280,3.590,-11.754,-3.459
27.880,2.590,-14.415,-3.756
23.530,3.400,-12.645,-3.505
18.520,2.980,-4.833,-1.917
26.240,2.930,-5.126,-2.000
25.370,2.810,-5.210,-1.701
23.180,3.260,-5.792,-1.931
20.340,2.370,-4.193,-1.710
25.370,3.120,-5.078,-1.644
25.670,2.310,-4.759,-1.770
26.790,2.460,-4.795,-1.552
26.560,1.760,0.203,-32.728
31.800,2.020,0.286,-27.899
26.250,1.570,0.251,-23.191
24.860,1.770,0.259,-29.169
24.820,1.690,0.401,-25.749
23.290,2.470,0.493,-23.308
26.180,2.430,0.474,-30.549
31.760,1.880,0.508,-28.936
30.650,3.060,0.125,-19.164
30.790,3.010,0.157,-21.376
32.000,2.520,0.120,-25.851
32.460,2.180,0.144,-23.260
29.690,2.500,0.372,-23.949
32.860,2.240,0.361,-23.267
26.280,2.330,0.341,-25.165
31.280,2.350,0.387,-19.337
26.820,2.680,2.610,3.903
24.020,2.560,2.544,3.159
18.660,2.390,2.462,2.703
26.060,3.250,2.502,3.213
22.170,3.010,1.855,3.678
22.800,2.550,2.009,3.799
22.380,2.900,2.611,3.226
21.310,2.270,2.237,3.374
20.470,10.130,-4.830,-10.155
18.590,9.680,-5.130,-10.978
18.810,9.180,-4.942,-10.095
16.720,9.060,-3.755,-11.800
21.770,12.880,-4.033,-13.240
19.080,11.560,-4.109,-12.317
19.430,12.290,-3.840,-11.348
18.230,11.240,-3.575,-10.853
22.960,3.060,-2.856,-8.740
18.470,3.150,-2.668,-9.178
17.270,3.890,-2.640,-10.166
24.400,3.150,-2.821,-8.424
18.170,3.640,-7.608,-16.118
21.510,4.030,-6.752,-18.657
21.320,3.810,-6.124,-16.333
25.140,3.370,-6.151,-13.310
25.510,2.890,0.515,-0.207
20.850,3.270,0.463,-0.249
25.080,3.200,0.422,-0.218
25.410,3.010,0.424,-0.226
22.010,3.120,0.443,-0.241
24.700,2.600,0.474,-0.189
25.700,2.360,0.476,-0.206
22.700,2.770,0.482,-0.192
16.770,4.060,-0.265,-1.003
17.050,4.240,-0.207,-1.241
21.350,3.450,-0.283,-1.389
19.540,3.860,-0.301,-1.396
18.190,3.810,-0.343,-1.068
19.420,4.160,-0.357,-1.108
20.230,4.460,-0.389,-1.373
18.270,3.910,-0.347,-1.114
25.110,2.670,8.721,-3.415
17.600,3.260,6.389,-4.812
22.030,2.970,8.881,-3.520
24.860,2.960,6.562,-3.880
21.700,3.040,3.450,-0.263
22.910,2.360,2.869,-0.347
17.760,2.780,3.433,-0.306
20.700,2.520,2.888,-0.349
22.660,2.890,-11.880,-6.142
25.330,2.970,-12.940,-8.215
22.140,2.750,-15.927,-6.032
21.830,2.580,-13.617,-8.602
22.430,2.920,-14.899,-6.556
27.370,2.380,-12.299,-8.291
22.110,2.740,-14.408,-8.062
25.080,3.120,-13.089,-7.303
14.190,0.830,-16.444,-0.158
14.200,0.810,-16.994,-0.171
18.520,2.880,3.550,-1.130
18.380,2.650,3.219,-1.240
20.810,2.400,2.527,-1.396
23.230,2.100,3.446,-1.222
25.780,2.340,2.887,-1.387
18.660,2.560,2.802,-1.164
24.000,2.110,2.673,-1.596
19.220,2.870,2.408,-1.612
21.510,3.990,-2.877,-12.823
18.600,3.070,-3.931,-16.452
23.870,3.490,-3.324,-15.566
17.550,2.830,-2.779,-11.966
24.420,3.700,-2.969,-14.170
24.680,3.180,-3.181,-14.163
18.500,3.410,-2.733,-12.825
22.900,3.950,-2.864,-10.111
22.850,2.380,-0.000,0.000
19.700,1.960,-0.000,0.000
22.160,2.750,-0.000,0.000
24.830,2.700,-0.000,0.000
25.750,2.160,-0.000,0.000
19.350,2.350,-0.000,0.000
26.340,2.500,-0.000,0.000
23.720,2.600,-0.000,0.000
16.550,14.210,-1.081,-9.445
13.220,13.220,-1.358,-9.489
16.440,15.320,-1.241,-9.100
16.380,12.590,-1.129,-8.427
13.430,12.180,-1.181,-8.244
11.790,15.490,-1.053,-6.133
11.510,14.580,-1.088,-7.075
14.580,13.400,-1.251,-7.893
16.050,9.690,-1.911,-13.979
16.820,10.820,-1.799,-16.628
20.520,9.450,-1.916,-15.694
21.180,10.120,-1.972,-13.247
21.720,10.480,-1.766,-16.405
18.020,10.640,-2.181,-17.046
22.860,8.100,-2.381,-18.010
23.270,9.700,-2.389,-17.011
23.200,4.410,2.272,-1.298
16.180,4.020,2.636,-1.092
16.870,4.990,2.176,-1.163
19.870,3.880,2.468,-1.003
17.810,4.940,2.476,-1.012
21.720,3.560,2.292,-1.229
20.390,3.880,3.056,-0.973
19.320,4.920,2.090,-1.108
23.210,2.940,4.984,-2.747
20.070,3.790,5.186,-2.603
17.330,3.270,4.801,-2.688
22.620,3.080,3.951,-2.432
22.660,2.710,4.643,-2.337
24.040,3.530,4.066,-2.319
24.940,3.240,5.338,-2.953
20.380,3.900,4.845,-2.925
26.570,2.650,-7.847,-2.194
27.100,2.680,-8.485,-1.987
21.590,2.910,-7.766,-2.759
20.710,2.480,-8.806,-2.697
22.740,2.830,-6.714,-2.475
24.240,2.830,-8.277,-2.097
27.160,2.260,-7.345,-2.238
20.940,2.680,-9.219,-2.148
29.320,-0.320,1.449,-23.167
26.130,-0.440,1.205,-27.741
30.650,-0.350,1.477,-19.256
27.610,-0.450,1.372,-20.572
23.670,-0.470,1.248,-20.155
24.720,-0.320,1.280,-22.759
27.240,-0.390,1.295,-20.889
28.810,-0.340,1.107,-20.047
22.200,-1.910,-2.108,-21.019
23.930,-2.090,-2.300,-21.129
24.260,-1.570,-1.957,-25.107
23.360,-1.970,-2.661,-28.051
27.510,-1.680,-1.982,-25.353
23.430,-1.890,-2.068,-26.389
27.150,-2.060,-1.923,-23.066
22.750,-1.530,-2.189,-28.242
18.850,2.090,0.028,0.010
18.830,2.450,0.028,0.009
21.650,2.690,0.028,0.011
25.050,2.710,0.039,0.009
24.800,2.170,0.037,0.009
19.520,2.450,0.032,0.011
24.830,2.140,0.038,0.011
24.240,2.750,0.039,0.011
25.780,-7.150,-5.145,-26.302
30.760,-5.170,-5.361,-26.739
25.350,-7.630,-5.024,-32.030
31.200,-5.890,-5.906,-33.566
23.640,-7.120,-4.416,-35.659
25.340,-7.690,-4.602,-29.584
23.610,-7.280,-4.296,-27.293
26.760,-7.410,-5.584,-32.416
30.830,-4.110,-4.050,-23.423
31.260,-4.140,-3.399,-22.577
29.190,-3.590,-3.901,-27.316
23.380,-4.300,-3.597,-29.078
25.960,-4.040,-2.988,-23.775
29.310,-4.690,-3.603,-30.596
27.670,-5.020,-3.080,-30.442
22.620,-3.720,-3.705,-23.662
20.680,3.760,0.174,-0.030
20.270,3.790,0.249,-0.037
19.370,4.480,0.170,-0.028
16.920,3.560,0.175,-0.036
15.160,4.210,0.392,-0.065
20.800,4.130,0.311,-0.055
15.990,4.690,0.362,-0.064
18.290,3.850,0.299,-0.063
22.480,2.900,0.194,0.037
25.620,2.040,0.239,0.035
23.930,2.540,0.210,0.033
18.390,2.230,0.185,0.027
19.050,2.200,-0.000,0.000
24.120,2.490,-0.000,0.000
22.810,2.250,-0.000,0.000
20.160,2.530,-0.000,0.000
24.230,2.720,3.092,-7.745
26.510,2.730,3.426,-7.043
31.680,2.670,3.384,-7.392
28.090,3.010,3.279,-6.535
26.990,2.790,3.862,-6.649
24.450,2.670,3.487,-5.957
21.470,2.820,3.718,-7.542
22.670,2.460,3.218,-8.366
25.700,3.010,-4.087,-0.616
26.780,2.810,-2.794,-0.488
27.810,3.170,-4.127,-0.569
20.100,3.280,-3.914,-0.628
21.680,2.780,-3.084,-0.411
24.100,3.440,-2.994,-0.468
26.930,3.880,-3.481,-0.454
21.040,3.860,-2.792,-0.435
18.770,2.910,0.142,-0.053
19.820,2.840,0.141,-0.047
25.940,2.200,0.121,-0.051
22.710,2.500,0.151,-0.058
24.850,2.210,0.191,-0.055
19.060,2.270,0.209,-0.053
21.010,2.340,0.210,-0.053
23.350,2.580,0.141,-0.056
23.030,3.430,5.668,-2.208
21.840,4.050,5.983,-1.970
23.220,3.820,5.601,-2.666
23.260,4.000,5.659,-2.198
19.860,2.950,5.702,-1.963
21.840,3.670,4.672,-2.209
22.190,3.110,5.427,-1.827
24.460,3.450,5.215,-2.700
26.770,3.740,-1.094,-3.174
22.120,4.800,-0.818,-2.569
27.070,3.630,-0.992,-2.893
27.190,4.310,-1.115,-2.512
27.970,4.760,-1.047,-2.644
26.170,3.360,-0.978,-2.282
27.560,4.580,-0.902,-3.067
24.470,4.370,-0.991,-2.610
24.750,3.810,0.945,-6.329
21.810,3.900,1.156,-5.342
18.220,3.310,1.016,-5.916
18.450,3.390,1.136,-5.243
18.380,3.850,1.623,-5.469
22.990,3.720,1.393,-5.797
23.980,3.410,1.503,-6.416
19.120,3.190,1.349,-5.699
26.540,3.350,-0.377,-0.548
25.110,2.290,-0.376,-0.456
26.660,3.220,-0.271,-0.542
24.060,2.280,-0.325,-0.521
19.830,2.810,0.244,-0.311
26.270,3.230,0.259,-0.326
25.010,3.210,0.248,-0.360
27.260,3.170,0.218,-0.297
16.910,9.990,-2.919,-18.609
22.670,8.920,-3.115,-14.443
22.530,9.420,-2.585,-16.329
16.290,10.820,-2.659,-17.907
22.700,9.010,-2.813,-18.694
22.240,10.980,-3.329,-18.747
22.870,11.330,-3.202,-14.521
16.840,11.750,-3.163,-14.725
23.940,2.540,4.957,-2.538
19.510,2.360,6.845,-2.809
21.070,3.290,5.176,-2.317
21.130,3.300,5.363,-2.133
20.730,2.960,5.171,-2.669
23.130,3.240,6.429,-2.533
25.290,2.560,5.281,-2.525
24.220,2.900,6.915,-2.847
24.380,-2.750,-1.093,-25.039
27.960,-2.520,-0.893,-20.808
26.660,-2.350,-1.104,-25.695
31.110,-2.480,-0.845,-26.089
26.760,-2.080,-1.294,-27.168
22.640,-2.160,-1.113,-23.425
22.940,-2.320,-1.008,-27.564
28.400,-2.710,-0.915,-27.099
24.560,-4.270,-1.751,-24.693
28.680,-4.740,-2.141,-25.447
23.360,-3.500,-1.750,-27.401
27.870,-3.310,-1.839,-26.387
22.570,-4.120,-2.359,-25.664
21.380,-4.090,-2.299,-21.663
21.870,-4.770,-2.156,-21.551
29.700,-4.740,-2.026,-28.712
24.700,2.840,-0.846,0.122
27.290,2.190,-0.962,0.128
23.140,2.650,-0.693,0.143
19.390,2.230,-0.841,0.150
18.980,2.710,-0.328,0.064
25.790,2.850,-0.290,0.074
26.560,2.250,-0.312,0.073
18.540,3.020,-0.398,0.074
