tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	unknown	0.447856	0.5915004732087255	103.739392		unknown	0.422765	0.5897882543504238	103.710720		true	0.840116	1.0293254479765892	108.105728	618	true	328.670364	329.25048523396254	306.454528		true	12.573521	12.822156885638833	152.817664	15389
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	TIMEOUT	1800.614	1800.7809840319678	139.227136		TIMEOUT	1800.618054	1800.970448997803	240.939008		TIMEOUT	1800.615419	1800.8249177914113	131.903488		TIMEOUT	1800.608753	1801.2024224270135	177.147904		true	190.504038	190.71667738817632	422.903808	152265
pomdps-sat_mem_3_network_3.yml	sat	true	unknown	0.419504	0.5557099087163806	103.026688		unknown	0.37199	0.5392333846539259	102.985728		true	19.252374	19.4367481097579	112.893952	42100	TIMEOUT	1800.607896	1801.162338747643	162.144256		true	6.23066	6.418180036358535	140.980224	7200
pomdps-sat_mem_3_query-s2_3.yml	sat	true	unknown	0.429507	0.5734627926722169	103.079936		unknown	0.391638	0.5665252842009068	103.038976		true	0.652254	0.7995877712965012	106.029056	41	TIMEOUT	1800.612783	1801.199897534214	251.392000		true	0.977497	1.1857518749311566	139.821056	151
pomdps-sat_mem_3_query-s3_3.yml	sat	true	unknown	0.407568	0.5642669657245278	105.783296		unknown	0.514061	0.6651755291968584	105.889792		true	90.178342	90.32069576531649	310.083584	1644	TIMEOUT	1800.726203	1801.3066871063784	1920.417792		true	64.803496	65.03149821702391	164.184064	2016
pomdps-sat_mem_3_refuel-06_3.yml	sat	true	TIMEOUT	1800.615775	1800.8182496326044	214.732800		TIMEOUT	1800.624906	1800.875309413299	244.678656		true	7.981793	8.133415274322033	184.954880	4609	TIMEOUT	1800.644561	1801.2315589664504	625.221632		TIMEOUT	1800.848214	1801.1820377605036	4855.898112	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	unknown	0.386017	0.5439857225865126	103.358464		unknown	0.394403	0.5213999478146434	103.485440		true	169.183537	169.3498609121889	126.115840	340832	TIMEOUT	1800.605509	1801.177878770046	171.491328		TIMEOUT	1800.669772	1800.9161263536662	1043.804160	
jair-unsat_box-pushing-1fsc.yml	unsat	false	unknown	2.587982	2.7556555597111583	159.678464		unknown	2.744163	2.8861984303221107	159.567872		false	2.89469	3.058699645102024	179.011584	19	TIMEOUT	1800.680572	1801.2417605174705	1213.341696		false	3.19948	3.3798231361433864	200.568832	178
jair-unsat_box-pushing-2fsc.yml	unsat	false	unknown	7.683892	7.827578265219927	252.260352		unknown	10.009183	10.1721699424088	252.100608		false	46.566348	46.715045663528144	2210.709504	718	TIMEOUT	1800.809584	1801.3808305589482	4883.005440		false	1202.694586	1202.9839013833553	398.811136	62423
jair-unsat_dpm.yml	unsat	false	false	0.925735	1.0516368616372347	201.416704	1	TIMEOUT	1800.62996	1800.87218960654	265.183232		false	0.726386	0.848083509132266	198.737920	1	TIMEOUT	1800.673739	1801.2482682326809	1409.490944		false	1.322314	1.513619744218886	240.115712	1
jair-unsat_grid-10-sl-4fsc.yml	unsat	false	TIMEOUT	1800.621236	1800.7889492856339	204.734464		false	22.032488	22.17222158703953	152.702976	7396	TIMEOUT	1800.62025	1800.8064819741994	168.288256		TIMEOUT	1800.673917	1801.228804753162	1027.203072		false	4.031608	4.250462572090328	160.092160	1005
jair-unsat_grid-meet-sl-2fsc.yml	unsat	false	false	120.06188	120.21381046064198	2320.658432	3601	TIMEOUT	1800.648128	1800.9256066605449	639.569920		false	95.993296	96.12455890793353	2283.388928	1620	TIMEOUT	1800.872274	1801.2732953839004	11142.672384		false	29.516794	29.738227383233607	1016.926208	1260
jair-unsat_grid3x3-1fsc.yml	unsat	false	unknown	0.606581	0.7578565506264567	149.520384		unknown	0.64995	0.7936549009755254	149.655552		false	1.542182	1.69098708499223	232.583168	14	TIMEOUT	1800.713879	1800.9548037694767	2156.912640		false	0.987903	1.1969920191913843	211.771392	18
jair-unsat_grid3x3-2fsc.yml	unsat	false	unknown	2.950696	3.1007924200966954	325.939200		unknown	3.039205	3.1974403811618686	325.918720		OUT OF MEMORY	1302.913992	1303.5941647458822	16000.000000		TIMEOUT	1800.659543	1800.9242317602038	1486.282752		false	826.956387	827.2293178252876	518.815744	9392
jair-unsat_herman.yml	unsat	false	false	52.175184	52.30618831701577	1123.360768	799	TIMEOUT	1800.659355	1800.9011202855036	898.842624		false	81.452618	81.576555528678	3409.522688	197	TIMEOUT	1800.785759	1801.044518857263	7223.996416		false	127.626305	127.82835329696536	1049.141248	3326
jair-unsat_maze.yml	unsat	false	TIMEOUT	1800.615154	1800.7918305136263	139.677696		TIMEOUT	1800.62626	1800.876782332547	216.076288		TIMEOUT	1800.618094	1800.7478419151157	133.791744		TIMEOUT	1800.607703	1800.9252049848437	176.312320		false	1.136398	1.3267658911645412	155.619328	780
jair-unsat_pole-res.yml	unsat	false	unknown	0.471644	0.6002874271944165	133.738496		unknown	0.400812	0.5169466976076365	133.517312		false	0.662601	0.8084254711866379	143.605760	5	TIMEOUT	1800.657047	1800.9088865900412	647.118848		false	0.793676	0.9974115379154682	168.177664	43
jair-unsat_pole.yml	unsat	false	unknown	0.47063	0.6098337136209011	136.867840		unknown	0.752516	0.8957289764657617	136.663040		false	1.579693	1.7202606545761228	336.011264	32	TIMEOUT	1800.680279	1800.9178994689137	1000.964096		false	4.331082	4.5219227485358715	177.692672	381
jair-unsat_recycling-2fsc.yml	unsat	false	unknown	0.472407	0.6076550846919417	133.767168		unknown	0.397302	0.5395613443106413	133.726208		false	0.597971	0.7379866410046816	133.763072	28	TIMEOUT	1800.62022	1800.8823586311191	255.934464		false	0.809019	1.0127092758193612	155.897856	253
jair-unsat_recycling-3fsc.yml	unsat	false	unknown	0.620005	0.7692182725295424	133.767168		unknown	0.592533	0.7457332611083984	133.767168		false	4.054976	4.205735352821648	190.345216	1006	TIMEOUT	1800.610857	1800.8614300005138	506.941440		false	3.532059	3.751519411802292	157.319168	1485
