tool			synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set			PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	PAYNT-CEGIS	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMT(LRA)	SMPMC	SMPMC	SMPMC	SMPMC	SMPMC	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-AR	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid	PAYNT-Hybrid
benchmarks/files/simple-q1/			status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
pomdps-sat_mem_2_query-s2_2.yml	sat	true	unknown	0.429028	0.6174800861626863	103.043072		TIMEOUT	1800.607206	1801.171325637959	171.913216		true	0.495389	0.7319451496005058	140.533760	24	true	0.541677	0.7280591512098908	105.402368	19	unknown	0.382123	0.5652845865115523	102.891520	
pomdps-sat_mem_2_query-s3_2.yml	sat	true	unknown	0.405609	0.5804745191708207	104.103936		TIMEOUT	1800.6451	1801.189712351188	805.244928		true	5.125685	5.329756069928408	147.476480	267	true	6.072244	6.251613725908101	142.958592	182	unknown	0.495734	0.6922334181144834	104.230912	
pomdps-sat_mem_2_refuel-06_2.yml	sat	true	TIMEOUT	1800.622242	1800.9383136108518	243.609600		TIMEOUT	1800.619688	1801.2131494740024	322.785280		TIMEOUT	1800.996345	1801.259831553325	7281.139712		true	0.739818	0.9310588203370571	132.317184	316	TIMEOUT	1800.619136	1800.8552927356213	185.454592	
pomdps-sat_mem_3_4x3-95_3.yml	sat	true	unknown	0.382902	0.5710234027355909	103.428096		TIMEOUT	1800.609806	1801.2142183277756	157.921280		true	224.053846	224.25935628265142	312.758272	144107	true	1.678448	1.8496861327439547	106.450944	3284	unknown	0.345189	0.5386537872254848	103.301120	
pomdps-sat_mem_3_4x5x2-95_3.yml	sat	true	unknown	0.486213	0.6413824670016766	103.616512		true	249.965072	250.54048328008503	306.536448		true	12.848013	13.015086986124516	152.702976	15389	true	0.773966	0.9025916280224919	108.285952	618	unknown	0.386508	0.5498383948579431	103.960576	
pomdps-sat_mem_3_grid-avoid-4-0.1_3.yml	sat	true	true	0.42506	0.6034690281376243	146.780160	74	true	2.363617	2.908104277215898	164.290560		true	0.47112	0.6825025454163551	155.348992	11	true	0.495951	0.6456194231286645	132.190208	59	true	0.531467	0.6626749886199832	147.558400	609
pomdps-sat_mem_3_maze-alex_3.yml	sat	true	TIMEOUT	1800.628298	1800.862666430883	240.889856		TIMEOUT	1800.603389	1801.2521924134344	176.898048		true	190.900996	191.15513732284307	422.170624	152265	TIMEOUT	1800.617862	1800.7995684342459	131.792896		TIMEOUT	1800.618794	1800.7778964396566	139.055104	
pomdps-sat_mem_3_network_3.yml	sat	true	unknown	0.368312	0.5096070067957044	103.133184		TIMEOUT	1800.604929	1801.134127578698	162.066432		true	6.807467	7.0120629966259	141.062144	7200	true	19.664325	19.822313762269914	112.889856	42100	unknown	0.457439	0.6300569204613566	103.256064	
pomdps-sat_mem_3_query-s2_3.yml	sat	true	unknown	0.350541	0.4665884217247367	103.227392		TIMEOUT	1800.61076	1801.1936398837715	251.154432		true	1.000417	1.1946902852505445	139.898880	151	true	1.033859	1.187182903289795	105.848832	41	unknown	0.403841	0.5733958343043923	103.243776	
pomdps-sat_mem_3_query-s3_3.yml	sat	true	unknown	0.401955	0.5719364956021309	105.803776		TIMEOUT	1800.71102	1801.2548202993348	1919.590400		true	65.763994	65.94367290474474	164.622336	2016	true	92.224402	92.36274953186512	310.243328	1644	unknown	0.432543	0.6184462821111083	106.037248	
pomdps-sat_mem_3_refuel-06_3.yml	sat	true	TIMEOUT	1800.627944	1800.8834583694115	244.617216		TIMEOUT	1800.644863	1801.1961885960773	619.204608		TIMEOUT	1800.846033	1801.201682170853	4854.894592		true	8.991918	9.130097953602672	184.893440	4609	TIMEOUT	1800.621044	1800.8327564029023	214.822912	
pomdps-sat_mem_4_4x3-95_4.yml	sat	true	unknown	0.454308	0.6146524716168642	103.526400		TIMEOUT	1800.608386	1801.1097265779972	171.802624		TIMEOUT	1800.671158	1800.8937131734565	1043.742720		true	158.303895	158.4609461920336	126.087168	340832	unknown	0.433966	0.5749170230701566	103.743488	
pomdps-sat_mem_4_grid-avoid-4-0.1_4.yml	sat	true	true	0.775331	0.9190119858831167	146.481152	277	true	113.444865	113.90540630184114	187.113472		true	0.756489	0.9743976881727576	155.635712	549	true	1.271006	1.4325182996690273	132.034560	1945	true	4.767389	4.9045336451381445	149.573632	18945
jair-unsat_box-pushing-1fsc.yml	unsat	false	unknown	2.754373	2.910653231665492	160.468992		TIMEOUT	1800.66845	1801.1918707219884	1216.212992		false	3.03246	3.199865898117423	201.318400	178	false	2.767854	2.9274050248786807	179.298304	19	unknown	2.602969	2.749745271168649	159.870976	
jair-unsat_box-pushing-2fsc.yml	unsat	false	unknown	7.757163	7.933516847901046	252.243968		TIMEOUT	1800.806956	1801.2897448157892	4887.461888		false	1132.381809	1132.6363026173785	397.443072	62423	false	46.571509	46.7046127282083	2210.840576	718	unknown	7.588842	7.741232056170702	252.063744	
jair-unsat_dpm.yml	unsat	false	unknown	31.010336	31.156576382927597	7504.777216		TIMEOUT	1801.243155	1801.7310522925109	12179.423232		false	54.782477	55.04543851874769	7863.582720	1	false	45.925146	46.08542116638273	7502.848000	1	unknown	31.436662	31.5854415204376	7503.237120	
jair-unsat_grid-10-sl-4fsc.yml	unsat	false	false	20.966943	21.113538802601397	152.629248	7396	TIMEOUT	1800.67213	1801.132822709158	1027.215360		false	5.422308	5.659678135998547	160.313344	1005	TIMEOUT	1800.619238	1800.7790469825268	168.431616		TIMEOUT	1800.622493	1800.8066519899294	202.952704	
jair-unsat_grid-meet-sl-2fsc.yml	unsat	false	TIMEOUT	1800.643395	1800.8980111535639	639.270912		TIMEOUT	1800.868739	1801.2704874016345	11142.651904		false	30.38126	30.560960264876485	1010.823168	1260	false	102.089291	102.20495958160609	2285.461504	1620	false	116.119299	116.28426895942539	2325.426176	3858
jair-unsat_grid.yml	unsat	false	false	0.711228	0.8939950410276651	147.259392	196	false	1177.939807	1178.1522135892883	209.190912		false	2.251181	2.460443758405745	155.983872	2572	false	2.354156	2.499481847509742	133.775360	4139	false	1.235242	1.3617556327953935	148.135936	954
jair-unsat_grid3x3-1fsc.yml	unsat	false	unknown	0.653121	0.7939990814775229	149.528576		TIMEOUT	1800.706986	1800.9429334616289	2150.383616		false	1.707286	1.9250034857541323	211.976192	18	false	0.961094	1.0889420695602894	232.488960	14	unknown	0.881703	1.0106547679752111	149.909504	
jair-unsat_grid3x3-2fsc.yml	unsat	false	unknown	2.574122	2.7002580324187875	325.840896		TIMEOUT	1800.65916	1800.929806938395	1486.413824		false	829.711663	829.9362265495583	520.314880	9392	OUT OF MEMORY	1276.042652	1276.503572769463	16000.000000		unknown	2.530931	2.6645069690421224	325.750784	
jair-unsat_herman.yml	unsat	false	TIMEOUT	1800.654306	1801.059767943807	899.022848		TIMEOUT	1800.787426	1801.069117994979	7222.824960		false	160.456789	160.6757880412042	1061.240832	3326	false	84.258654	84.38528643269092	3409.412096	197	false	77.935535	78.06376799568534	1124.052992	700
jair-unsat_maze-sl-5.yml	unsat	false	TIMEOUT	1800.622865	1800.8776438701898	255.361024		TIMEOUT	1800.620405	1800.854609674774	222.404608		TIMEOUT	1800.623886	1800.976919511333	333.848576		TIMEOUT	1800.615898	1800.795899996534	133.779456		TIMEOUT	1800.617406	1800.7812235271558	140.042240	
jair-unsat_maze.yml	unsat	false	TIMEOUT	1800.620418	1800.902149562724	214.966272		TIMEOUT	1800.618787	1800.84536437504	176.459776		false	1.074279	1.254331462085247	155.951104	780	TIMEOUT	1800.605571	1800.8577967239544	133.775360		TIMEOUT	1800.617164	1800.7681221188977	139.489280	
jair-unsat_pole-res.yml	unsat	false	unknown	0.627643	0.7740691844373941	133.840896		TIMEOUT	1800.658709	1800.8933129310608	654.946304		false	1.056701	1.2517504747956991	168.337408	43	false	0.507568	0.6385098323225975	143.646720	5	unknown	0.582666	0.7232075687497854	133.517312	
jair-unsat_pole.yml	unsat	false	unknown	0.463033	0.569034893065691	136.720384		TIMEOUT	1800.658929	1800.9309155028313	998.592512		false	2.886209	3.056433180347085	177.750016	381	false	1.099969	1.2226526252925396	336.117760	32	unknown	0.429305	0.5575706465169787	136.491008	
jair-unsat_recycling-2fsc.yml	unsat	false	unknown	0.41023	0.5567401554435492	134.078464		TIMEOUT	1800.624494	1800.8441908517852	255.823872		false	0.640884	0.8221830567345023	155.201536	253	false	0.5305	0.6627773595973849	133.775360	28	unknown	0.517273	0.6685478053987026	133.767168	
jair-unsat_recycling-3fsc.yml	unsat	false	unknown	0.592336	0.7280599465593696	133.746688		TIMEOUT	1800.610852	1800.8944343402982	506.974208		false	3.432573	3.677069131284952	157.532160	1485	false	2.763219	2.908304015174508	190.472192	1006	unknown	0.412627	0.5577510977163911	133.771264	
jair-unsat_refuel-06-res.yml	unsat	false	TIMEOUT	1800.620585	1800.86593312677	231.133184		TIMEOUT	1800.609962	1800.8719417871907	244.174848		false	0.886029	1.0590698197484016	156.454912	33	false	0.650599	0.7884805547073483	134.459392	1	false	0.562358	0.6839716276153922	140.488704	1
jair-unsat_tiny_rewards.yml	unsat	false	unknown	0.526033	0.6891582952812314	133.447680		false	0.367469	0.5400440599769354	156.315648		false	0.422369	0.6209073746576905	155.688960	2	false	0.356416	0.49833806697279215	133.464064	1	unknown	0.347433	0.4832811038941145	133.550080	
pomdps-unsat_mem_1_4x3-95_1.yml	unsat	false	unknown	0.326846	0.47284524142742157	103.243776		false	1602.964187	1603.168738317676	177.197056		false	1.3343	1.4994600275531411	140.148736	1459	false	0.44678	0.5783176608383656	105.340928	13	unknown	0.350342	0.473547276109457	103.161856	
pomdps-unsat_mem_1_4x5x2-95_1.yml	unsat	false	unknown	0.517628	0.6681722048670053	103.190528		false	71.288273	71.53497280273587	199.864320		false	0.425551	0.6437377287074924	140.066816	58	false	0.348595	0.4832491772249341	105.541632	13	unknown	0.447728	0.5943373627960682	103.137280	
pomdps-unsat_mem_1_drone-4-1_1.yml	unsat	false	TIMEOUT	1800.625398	1800.8590395748615	220.045312		TIMEOUT	1800.620334	1800.9812392005697	286.670848		TIMEOUT	1800.715169	1801.0298448130488	4304.842752		false	2.144745	2.287592211738229	146.604032	269	false	1.74974	1.883724213577807	166.490112	289
pomdps-unsat_mem_1_drone-4-2_1.yml	unsat	false	TIMEOUT	1800.624602	1800.9062982266769	257.851392		TIMEOUT	1800.621423	1800.970233974047	314.122240		TIMEOUT	1800.684901	1800.9862225521356	2334.441472		false	0.58728	0.7290754085406661	132.222976	25	false	0.54773	0.6608795141801238	152.924160	26
pomdps-unsat_mem_1_drone-8-2_1.yml	unsat	false	TIMEOUT	1800.633262	1800.8784625884145	333.516800		TIMEOUT	1800.674666	1801.0194598184898	926.273536		TIMEOUT	1800.733655	1800.978105975315	4857.401344		TIMEOUT	1800.639537	1800.8426038399339	679.432192		TIMEOUT	1800.626285	1800.7805058034137	301.420544	
pomdps-unsat_mem_1_grid-avoid-4-0.1_1.yml	unsat	false	false	0.359744	0.4691055789589882	145.981440	4	false	0.540565	0.8155795568600297	155.938816		false	0.543176	0.7655793000012636	154.189824	5	false	0.498471	0.6494343625381589	132.198400	5	false	0.497008	0.6334212571382523	146.698240	6
pomdps-unsat_mem_1_hallway_1.yml	unsat	false	unknown	0.773322	0.9140144623816013	163.065856		TIMEOUT	1800.739411	1801.1185523029417	2870.284288		TIMEOUT	1800.620936	1800.9009532574564	287.657984		TIMEOUT	1800.743484	1800.953808221966	3208.126464		unknown	0.786129	0.9389753472059965	162.066432	
pomdps-unsat_mem_1_maze-alex_1.yml	unsat	false	false	7.372163	7.503960119560361	146.546688	4762	false	818.063542	818.3544602598995	161.112064		false	0.872069	1.0733043644577265	155.140096	641	TIMEOUT	1800.613039	1800.7743711350486	131.690496		TIMEOUT	1800.616648	1800.794135529548	139.026432	
pomdps-unsat_mem_1_milos-aaai97_1.yml	unsat	false	unknown	0.52849	0.6775912623852491	103.149568		TIMEOUT	1800.626479	1800.9568358194083	309.448704		false	10.88292	11.087221784517169	141.615104	7929	false	3.616877	3.743383021093905	108.601344	3469	unknown	0.319298	0.43255682568997145	103.055360	
pomdps-unsat_mem_1_network_1.yml	unsat	false	unknown	0.490434	0.6416992442682385	102.981632		false	0.742336	1.042430049739778	140.349440		false	0.421813	0.6026575760915875	139.837440	41	false	0.472937	0.6009922781959176	105.226240	21	unknown	0.315351	0.41726008523255587	102.977536	
pomdps-unsat_mem_1_nrp-8_1.yml	unsat	false	false	0.561297	0.7242300352081656	146.137088	8	false	0.785411	1.0803884528577328	156.475392		false	0.422523	0.6118512246757746	154.148864	23	false	0.543133	0.6812598239630461	132.005888	43	false	0.38563	0.49436520878225565	147.025920	26
pomdps-unsat_mem_1_query-s2_1.yml	unsat	false	unknown	0.544145	0.6965767089277506	102.916096		false	856.070144	856.3342276019976	155.082752		false	0.436105	0.608039946295321	140.021760	22	false	0.489243	0.6341006644070148	105.537536	15	unknown	0.316247	0.44318118318915367	102.817792	
