tool	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 	synthesis 
run set	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	PAYNT-CEGIS.Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMT(LRA).Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks	SMPMC.Benchmarks
benchmarks/files/benchmark-q2-tree/	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Iterations
benchmark-q2-tree-sat_refuel-06_7.yml	false	8.67492	8.785346156917512	146.976768	150	false	129.668777	130.13651320524514	245.448704		false	12.903239	13.093126008287072	176.377856	5228
benchmark-q2-tree-sat_refuel-06_9.yml	false	248.911362	249.06522828992456	163.966976	572	false	604.887309	605.4260316956788	268.648448		false	76.009186	76.21982668899	200.921088	8138
benchmark-q2-tree-sat_rocks-12_1.yml	false	3.345652	3.4918329790234566	205.287424		TIMEOUT	1800.64623	1801.224596186541	845.103104		false	4.858231	5.040217937901616	215.461888	1
benchmark-q2-tree-sat_rocks-12_11.yml	true	366.125517	366.2535950653255	790.904832	7	TIMEOUT	1800.658237	1801.159841440618	856.748032		true	864.975607	865.3330961251631	1210.679296	4644
benchmark-q2-tree-sat_rocks-12_13.yml	true	378.631832	378.7623302517459	820.408320	2	TIMEOUT	1800.658875	1801.1388685228303	996.069376		true	1706.719092	1707.093447827734	1834.561536	13417
benchmark-q2-tree-sat_rocks-12_15.yml	true	1092.08797	1092.2592842485756	1002.020864	1	TIMEOUT	1800.656892	1801.127919299528	993.460224		true	1345.997933	1346.374771663919	1299.697664	3261
benchmark-q2-tree-sat_rocks-12_3.yml	false	7.106911	7.232982777059078	227.733504		TIMEOUT	1800.662389	1801.1810323772952	844.435456		false	8.657126	8.819919259287417	262.631424	1
benchmark-q2-tree-sat_rocks-12_5.yml	true	26.529377	26.657728341408074	358.719488	3	TIMEOUT	1800.667053	1800.8802137644961	849.104896		true	60.916604	61.22947029117495	439.406592	135
benchmark-q2-tree-sat_rocks-12_7.yml	true	71.555935	71.70402932353318	438.751232	4	TIMEOUT	1800.667027	1800.9221594333649	852.283392		true	267.295395	267.6344850817695	629.202944	3967
benchmark-q2-tree-sat_rocks-12_9.yml	true	154.488726	154.61233660019934	826.376192	3	TIMEOUT	1800.669243	1800.873894312419	852.631552		true	484.974343	485.3908946979791	1037.869056	3146
